Exposant	Pitch	Secteur	Pays	AI	Pays
Railee	"WIth Railee find trains across Europe in one click and book your next low-carbon holidays in a blink!

Come see us pitch Saturday 25th May!
When: 13h45 - 14h45 (5th startup out of 6 to pitch)
Where : The Pitch Studio (Booth M28)

Railee - The Smart Way To Travel Europe"	Hospitality/Tourism/Travel	France	7	Pays
Suzan AI	"Deploy AI you can trust with the most advanced AI governance and compliance platform___ From project ideation to development, then production monitoring, Suzan AI empower data, product and legal teams to deliver robust and compliant AI systems in a timely manner. We proudly partner with LEFEBVRE-DALLOZ to deliver exhaustive value on both technical and legal aspects.__MANAGE AI PROJECTS and ensure they are aligned with your digital transformation and business objectives.__TEST AND BENCHMARK models, datasets and AI assets against regulatory and operational constraints, such as biases, transparency or explainability.____COMPLY WITH WORLDWIDE REGULATIONS AND STANDARDS with ready-to-apply policy packs, such as EU AI Act or ISO 42001.
_ EVALUATE AND REMEDIATE RISKS of any kind: legal, reputational, financial, operational...__COMMUNICATE TO YOUR PARTNERS and turn ethical, responsible AI into a competitive advantage."	Banking/Finance/Insurance/Legal	France	8	France
:probabl.	"We believe that data science and machine learning are enablers of our modern society. Data rich processes are better informed, more efficient and ultimately lead to better decisions. This is increasingly true as we face new challenges in our society, across and between nations, but also as a species.
Probabl was created with a purpose. Its mission is to develop, maintain at the state of art, sustain, and disseminate a complete suite of open source tools for data science. Our commercial activities will unfold to support the long term mission."	Software Development/Cloud services	France	367	France
.lumen	".lumen builds Pedestrian Autonomous Driving AI (PAD AI) , first showcased in the Glasses for the Blind.

It's the first navigation stack designed specifically for ""self-driving"" on the pedestrian side. Tested in over 20 countries on 3 continents, it doesn't require internet connectivity or pre-mapping. The first product in which is applied are the Glasses for the Blind.

The Glasses mimic the main features of the Guide Dog for the Blind, in the shape of a headset. While a guide dog works by pulling the user's head, the Glasses ""pull"" the user's head using patented haptics, avoiding them from obstacles, keeping them on sidewalks or helping them navigate crossings and outdoor-indoors transitions. This product has been tested by over 300 blind individuals worldwide, videos of it have been seen by tens of millions of people."	Health	Romania	45	Hors France
·ISPALIS·	"·ispalis· meets the needs of savers who want to secure and give meaning to their money.
We've developed the PEB. What is PEB ? This is a Savings Plan in Bottles, to diversify savings and be able to consume them for pleasure. 
We call it : the true liquid savings.
We already offer a virtual wine cellar with 203 partner winemakers.
Our added value: storage at source directly at the producer to limit the carbon footprint !"	Banking/Finance/Insurance/Legal	France	0	France
0260.ai	"0260.AI is a consulting firm that helps traditional industries like energy, manufacturing, agriculture, transportation, tourism and professional services adopt artificial intelligence. We offer tailored solutions that enhance productivity and efficiency, including training, strategy development, and implementing AI tools such as chatbots and automation.

 Our goal is to make AI a core part of your business operations, ensuring it boosts your performance and competitiveness."	Consulting	Canada	6	Hors France
102-103	"It supports WFM decision-makers to design, challenge and manage their strategic and operational business models. 
At the same time they can assess their service delivery model, selecting their WFM providers through generating tender processes and monitoring agreed business requirements including Corporate Social Responsibility (CSR) and financial performance.
Core marketplace activity is twofold. First, it connects business professionals with an extensive and comprehensive roster of Facility and Workplace service providers’ profile. Second, it invites them to take part in integrated tender processes."	Software Development/Cloud services	France	0	France
1836	"80% of critical knowledge is locked in the minds of directors and executives! With Solution 1836, we structure and secure key company knowledge (tacit information, patents, insurance, key documents). Our innovative and unique process in the market ensures operational continuity, addressing the myriad challenges of knowledge loss (age pyramid, M&A, business failure, cyberattacks).""____80% des savoirs critiques sont bloqués dans les têtes des directeurs et dirigeants ! Avec la Solution 1836, nous structurons et sécurisons les connaissances clés d'une entreprise (informations tacites, brevet, assurance, documents clés). Processus innovant et unique sur le marché pour garantir une continuité opérationnelle, face aux multiples défis des pertes de savoir (pyramide des âges, transmission, défaillance, cyberattaque)."	Banking/Finance/Insurance/Legal	France	361	France
1km à pied	"Our HR software empowers multi-site organizations to reduce employee commutes by identifying opportunities for internal geographical mobility. By reducing commute times and enhancing work-life balance, we help companies boost employee retention and reduce absenteeism. With our innovative approach, we're transforming how companies manage workforce mobility while contributing to a more sustainable future. Join us in shaping the future of work!
Trusted by leading organizations such as Auchan, Carrefour, Lidl, Point P, Transilien, and Les Crèches Petits Chaperons Rouges, our platform is already making a difference in employee well-being and organizational efficiency."	Smart City/Building	France	392	France
1POINT6	1POINT6 manages all payments for platforms - it provides the best infrastructure to marketplaces/platforms to manage with a very high level of security all the payments. 1POINT6 is fully supported by BNP Paribas and remains autonomous in its execution.	Information technologies	France	220	France
